"No";"Nombre";"Tipo";"Región";"Tipología";"Titular";"Inversión(MMU$)";"FechaPresentaciónFecha deIngreso(*)";"Estado";"url";"id";"url_mapa";"Longitud";"Latitud";"Calificado";"n_documentos";"n_adendas";"n_participacion";"Tipo_proyecto";"Descripcion";"Ano_Ingreso"
39;"Optimización Planta Solar Likana";"DIA";"Segunda";"c";"Likana Solar SpA";"0,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150837953";"2150837953";"https://seia.sea.gob.cl/mapa/info.php?id=2150837953&name=0";-68,614277;-22,710999;"En Calificación";16;0;0;"Centrales generadoras de energía mayores a 3 MW";"El actual Proyecto corresponde a una modificación en cuanto a la capacidad de generación eléctrica mediante el cambio de la turbina de vapor de cada Planta Generadora aumentando la capacidad total del Proyecto de 450 MW a 690 MW. Ademas, se contempla:
- El cambio u optimización de las instalaciones de faena y campamentos, con la finalidad de organizar de mejor manera las actividades dentro del Proyecto.
- El cambio del trazado de la línea de transmisión eléctrica (LTE). Este cambio corresponde a 1,17 km de trazado diferente a lo evaluado inicialmente.ObjetivoOptimizar el Proyecto “Planta de Concentración Solar de Potencia Likana Solar” para aumentar la generación de energía hasta 690 MW y entregarla a la Subestación Centinela mediante una LTE.";"2021"
40;"Parque Fotovoltaico Doña Carmen PMG";"DIA";"RM";"c";"Solek Chile Services SpA";"10,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150815340";"2150815340";"https://seia.sea.gob.cl/mapa/info.php?id=2150815340&name=0";-70,785218;-33,6868;"En Calificación";16;0;0;"";"";"2021"
41;"Parque Fotovoltaico Los Cisnes";"DIA";"RM";"c";"Oenergy Generación Solar Distribuida SpA";"12,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150870305";"2150870305";"https://seia.sea.gob.cl/mapa/info.php?id=2150870305&name=0";-71,245476;-33,558399;"En Calificación";16;0;0;"Centrales generadoras de energía mayores a 3 MW";"El proyecto consiste en la instalación, operación y eventual cierre de una central solar fotovoltaica de 7,9 MWp de potencia instalada, compuesta por 17.752 paneles de silicio policristalinos de 450 W de potencia cada uno, montados sobre estructuras metálicas de acero galvanizado compuesta por 381 soportes de seguimiento en un eje o tracker (diario este-oeste), las que son fijadas a 12 pilotes hincados (clavados) directamente en el suelo a una profundidad aproximada de 1,5 m, sin la necesidad de tener que usar cimientos de hormigón, lo cual permite conservar las características físico-químicas del suelo.ObjetivoEl objetivo del Proyecto, es la generación de energía eléctrica renovable a partir de la tecnología solar fotovoltaica.";"2021"
42;"Parque Solar Fotovoltaico Rucapaine";"DIA";"RM";"c";"ORION POWER S.A.";"12,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150862025";"2150862025";"https://seia.sea.gob.cl/mapa/info.php?id=2150862025&name=0";-70,787456;-33,827574;"En Calificación";17;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Parque Solar Fotovoltaico Rucapaine corresponde a un proyecto nuevo, localizado en la Región Metropolitana, comuna de Buin y provincia de Maipo. 
Consiste en la construcción y operación de un Parque Solar Fotovoltaico que producirá energía mediante la conversión de energía solar en energía eléctrica por medio de 22.848 módulos fotovoltaicos, para inyectar una potencia nominal de 9 MW al Sistema Eléctrico Nacional (SEN).  
Para el Proyecto, se considera una vida útil de 30 años. La vida útil del Proyecto se podrá extender en la medida que las condiciones de mercado justifiquen la inversión. 
 ObjetivoLa realización del Proyecto tiene por objetivo la generación de energía eléctrica mediante la captación y transformación de la energía solar, para inyectar una potencia nominal de 9 MW al Sistema Eléctrico Nacional.";"2021"
43;"Parque Fotovoltaico Colihue del Verano";"DIA";"RM";"c";"Overo del Verano SpA";"10,2125";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150816703";"2150816703";"https://seia.sea.gob.cl/mapa/info.php?id=2150816703&name=0";-70,892;-33,0027;"En Calificación";16;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto tendrá una potencia nominal de 9 MWac, mediante la instalación de 20.384 paneles fotovoltaicos, con una potencia de 530 Watts que se inyectará a la red de distribución del Sistema Eléctrico Nacional (SEN). El Proyecto utilizará la tecnología de Central Solar Fotovoltaica (CSF), que de acuerdo con la Guía para la descripción de proyectos de centrales solares de generación de energía eléctrica del SEIA (2017), se describe como aquella que permite la conversión directa de energía lumínica en energía eléctrica. Objetivo
El Proyecto tiene por objetivo producir energía eléctrica limpia a través de Energías Renovables No Convencionales (ERNC), la cual es inyectada al Sistema Eléctrico Nacional (SEN). La potencia nominal total será de 9 MWac.";"2021"
44;"Ampliación Parque Fotovoltaico El Monte Solar";"DIA";"RM";"c";"Callaqui de Verano SpA";"6,2125";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150816630";"2150816630";"https://seia.sea.gob.cl/mapa/info.php?id=2150816630&name=0";-71,011888;-33,670299;"En Calificación";16;0;0;"Centrales generadoras de energía mayores a 3 MW";"El proyecto ""Ampliación Parque Fotovoltaico El Monte Solar"" corresponde a la ampliación de un proyecto actualmente declarado en construcción denominado ""El Monte Solar"", el cual obtuvo la Resolución Exenta N°0098 con fecha 14 de febrero de 2020 por el Servicio de Evaluación Ambiental de la Región Metropolitana de Santiago, que se traduce en el incremento de su potencia nominal instalada. Objetivo
El Proyecto tiene por objetivo producir energía eléctrica limpia a través de Energías Renovables No Convencionales (ERNC), la cual es inyectada al Sistema Eléctrico Nacional (SEN). La potencia nominal total será de 9 MWac.";"2021"
45;"Parque Fotovoltaico El Roque";"DIA";"RM";"c";"Solek Chile Services SpA";"10,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150815334";"2150815334";"https://seia.sea.gob.cl/mapa/info.php?id=2150815334&name=0";-70,88158866;-33,54743676;"En Calificación";18;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto corresponde a la construcción y operación de un parque solar que utilizará la tecnología de módulos fotovoltaicos para la captación y transformación de energía solar a eléctrica, compuesto de 16.044 módulos fotovoltaicos.
 ObjetivoEl Proyecto, tiene por objetivo captar y transformar la energía solar en energía eléctrica para inyectar a la red de distribuidora local, perteneciente al Sistema Eléctrico Nacional (SEN), además de obtener la Resolución de Calificación Ambiental (RCA) favorable, por medio de la evaluación ambiental y sectorial del presente documento.";"2021"
46;"Parque Fotovoltaico Alagua";"DIA";"RM";"c";"Solek Chile Services SpA";"10,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150821761";"2150821761";"https://seia.sea.gob.cl/mapa/info.php?id=2150821761&name=0";-70,8121;-33,1385;"En Calificación";19;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto corresponde a la construcción y operación de un parque solar que utilizará la tecnología de módulos fotovoltaicos para la captación y transformación de energía solar a eléctrica, compuesto de 19.656 módulos fotovoltaicos.
Este parque generará una potencia nominal de 10,66 MW a través de energías renovables no convencionales (ERNC), la que será inyectada al Sistema Eléctrico Nacional (SEN) mediante una línea eléctrica de media tensión de 12 kV.ObjetivoEl Proyecto, tiene por objetivo captar y transformar la energía solar en energía eléctrica para inyectar a la red de distribuidora local, perteneciente al Sistema Eléctrico Nacional (SEN), además de obtener la Resolución de Calificación Ambiental (RCA) favorable, por medio de la evaluación ambiental y sectorial del presente documento.";"2021"
47;"PRUEBA PILOTO DE VALORIZACIÓN DE E-SCRAPS EN FUNDICIÓN ALTONORTE";"DIA";"Segunda";"o9";"Complejo Metalurgico Altonorte S.A.";"0,2250";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2149761113";"2149761113";"https://seia.sea.gob.cl/mapa/info.php?id=2149761113&name=0";-70,318199;-23,826179;"En Calificación";22;0;0;"Plantas de tratamiento, disposición y/o eliminación de residuos peligrosos";"El Proyecto se desarrollará en las instalaciones existentes y aprobadas ambientalmente, y no requiere de la construcción de nuevas obras ni modificar las existentes, por cuanto, solo pretende realizar una prueba piloto para evaluar y analizar la valorización de cobre y elementos preciosos como oro y plata (Au y Ag) presente en E-Scraps en los ánodos de cobre.
La prueba piloto consiste en incorporar transitoriamente a las materias primas e insumos actuales del proceso de fundición -concentrado de cobre, sílice, carga fría y carbón coque-, 350 toneladas de E-Scraps en reemplazo de un porcentaje de carbón coque, sumándose a los insumos y materias primas descritos anteriormente. La alimentación de E-Scraps al reactor se realizará de manera alternada entre un mínimo de 11 ton/día a un máximo de 50 ton/día, en un periodo de tiempo que no excederá los 8 meses. Durante el mismo periodo se ejecutarán actividades complementarias como monitoreos, mediciones y análisis químicos. Posteriormente se realizará un análisis y valorización de los resultados obtenidos. 
De acuerdo con lo anterior, el conjunto de actividades de recepción y alimentación/tratamiento de E-Scraps, tendrán una duración total de 8 meses, correspondiente a la fase de operación del Proyecto.
El Proyecto no aumentará la capacidad de procesamiento del Reactor, aprobada ambientalmente.
Las principales actividades que se someterán a evaluación ambiental a través de la presente DIA se asocian con actividades nuevas a desarrollar en la Fundición Altonorte. A continuación, se resume cada una de estas actividades:
Prueba Piloto 
o    Recepción de E-Scraps
o    Alimentación / Tratamiento de E-Scraps
Asimismo, se realizarán actividades complementarias, tales como; mediciones, monitoreos y análisis químicos, análisis de peligrosidad de E-Scraps, para posteriormente realizar un análisis y valorización de los resultados obtenidos.Objetivo 
El objetivo del Proyecto es realizar una prueba piloto de fusión de E-Scrap de origen internacional, identificado con código de la Organización para la Cooperación y el Desarrollo Económicos (OCDE) GC020, mediante la incorporación de este insumo, al proceso de fusión actual de la Fundición Altonorte, realizando actividades complementarias, tales como, estudios para la identificación y análisis de las condiciones de recuperación de metales preciosos contenidos en este material, análisis de peligrosidad del E-Scrap, así como también el análisis de su valorización, de manera de establecer la factibilidad de su procesamiento para contribuir a la economía circular de este tipo de material, con la presentación de un nuevo proyecto al SEIA, en caso de ser factible.";"2021"
48;"Parque Fotovoltaico Fénix";"DIA";"Tercera";"c";"GRUPO ESTELAR SpA";"12,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150821139";"2150821139";"https://seia.sea.gob.cl/mapa/info.php?id=2150821139&name=0";-70,7288;-27,0879;"En Calificación";20;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto se emplaza en sector rural de la comuna de Caldera, Región de Atacama y corresponde a un proyecto de pequeños medios de generación distribuida a través de energías renovables no convencionales, que generará energía limpia. El Parque Fotovoltaico, está conformada por bloques o conjuntos de paneles solares los que suman un total de 9 MW AC. La energía de los bloques, es enviada mediante una línea aérea de media tensión (23 KV), hasta el punto de interconexión ubicado aproximadamente a 8,48 Km, donde se entregará la energía al Sistema Eléctrico Nacional.Objetivo 
El Proyecto tiene por objetivo proporcionar energía eléctrica a través de energías renovables no convencionales (ERNC), por medio de un Parque Fotovoltaico de 9 MW AC. La energía será inyectada al SEN.";"2021"
49;"Parque Fotovoltaico Jotabeche";"DIA";"Tercera";"c";"Solek Chile Services SpA";"10,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150807733";"2150807733";"https://seia.sea.gob.cl/mapa/info.php?id=2150807733&name=0";-70;-28;"En Calificación";20;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto consiste en la instalación y operación de un parque fotovoltaico ubicado en la Región de Atacama, específicamente en la comuna de Tierra Amarilla, perteneciente a la Provincia de Copiapó. 
Objetivo El Proyecto, tiene por objetivo captar y transformar la energía solar en energía eléctrica para inyectar 9 MW a la red de distribuidora local, perteneciente al Sistema Eléctrico Nacional (SEN), además de obtener la Resolución de Calificación Ambiental (RCA) favorable, por medio de la evaluación ambiental y sectorial del presente documento.";"2021"
50;"Altos del Solar";"DIA";"RM";"h1";"Constructora Inmobiliaria e Inversiones Oval Ltda";"11,1788";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150810609";"2150810609";"https://seia.sea.gob.cl/mapa/info.php?id=2150810609&name=0";-70,64892;-33,556719;"En Calificación";15;0;0;"Proyectos inmobiliarios";"El proyecto “Altos del Solar” ingresado a evaluación por medio de la presente DIA, está ubicado en la calle Venancia Leiva N° 1.709, Comuna de La Pintana, Región Metropolitana. El proyecto contempla la construcción y operación de 16 edificios de 4 pisos del tipo social de acuerdo a lo dispuesto en el D.S. 49/2011. El Proyecto contará con 307 departamentos, 81 estacionamientos vehiculares (75 para residentes, 3 para discapacitados y 3 para visitas) los cuales se encontrarán distribuidos en superficie. Por otro lado el proyecto contará con 45 estacionamientos de bicicletas.
Los metros cuadrados totales construidos serán 19.876,56 m2 y se emplazará en un predio que totaliza una superficie de 15.071,43 m2.ObjetivoEl objetivo del Proyecto es proveer nuevas soluciones habitacionales a personas de escasos recursos en la comuna de La Pintana, financiado por el Servicio de Vivienda y Urbanización (SERVIU). Para ello, tiene contemplado la construcción de una solución habitacional de 16 edificios de 4 pisos del tipo social de acuerdo a lo dispuesto en el D.S. 49/2011, los cuales consideran la construcción de 307 departamentos, 81 estacionamientos vehiculares de los cuales 75 estacionamientos son para residentes, 3 para discapacitados y 3 para visitas. Por otro lado, el proyecto considera 45 estacionamientos para bicicletas. Los metros cuadrados totales a construir son 19.876,56 m2 aproximadamente en un predio de 15.071,43 m2.";"2021"
51;"Ampliación Parque Eólico Alto Baguales";"DIA";"Undécima";"c";"Empresa Eléctrica de Aisén S.A.";"30,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150824999";"2150824999";"https://seia.sea.gob.cl/mapa/info.php?id=2150824999&name=0";-72,103641;-45,525575;"En Calificación";15;0;0;"Centrales generadoras de energía mayores a 3 MW";"Objetivo";"2021"
52;"Actualización Planta de Salmones Tomé";"DIA";"Octava";"n6";"Salmones Camanchaca S.A.";"1,5000";"18/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150830813";"2150830813";"https://seia.sea.gob.cl/mapa/info.php?id=2150830813&name=0";-72,93861;-36,623519;"En Calificación";15;0;0;"Plantas Procesadoras de recursos hidrobiológicos";"ObjetivoEl presente proyecto tiene como objetivo actualizar la operación de la Planta de producción de Salmón congelado, en base a una capacidad de procesamiento de Salmones congelados de 408 ton/día de materia prima, incremento ya ejecutado y que se encuentra actualmente en operación.
Por otra parte, el Proyecto considera la instalación del sistema de impulsión de aguas subterráneas hasta la planta salmones, el cual tiene por objeto contar con alternativas de abastecimiento de agua para la planta, que garanticen la seguridad del suministro hídrico, considerando que actualmente el agua es obtenida desde fuentes superficiales, lo que representa un riesgo ante una eventual disminución del caudal captado producto del cambio climático u otra circunstancia que lo pueda afectar.";"2021"
53;"DIA Mejoramiento del Sistema Riego Predio El Cardo";"DIA";"Sexta";"a1";"Inversiones El Cardo SPA";"0,4800";"18/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150818676";"2150818676";"https://seia.sea.gob.cl/mapa/info.php?id=2150818676&name=0";-71,435271;-34,171009;"En Calificación";15;0;0;"Presas y embalses";"El proyecto consiste en mejorar la disponibilidad y certeza hídrica del predio de manera de hacer  sostenible la rentabilidad productiva del predio, esto es incrementar la disponibilidad de aguas provenientes del canal Cocalán, derechos de 7 acciones, que se trasladan por el canal Cardalillo, y que son insuficientes durante el periodo de verano, por ello se ha decido complementarlo con un un embalse de temporada localizado en el mismo predio El Cardo, rol 150-67 de la comuna de Las Cabras, provincia Cachapoal, Región de O´Higgins, de una superficie de 289,2 ha. Objetivo El objetivo del proyecto ""Mejoramiento del Sistema Riego Predio El Cardo"" es almacenar aguas en un acumulador o embalse provenientes del canal Cocalán durante el invierno y primavera,  para así incrementar la disponibilidad hídrica del predio durante el periodo estival, en que aumenta la demanda por los frutales y disminuye la oferta del caudal de las acciones que posee el titular.";"2021"
54;"Ceres Solar";"DIA";"Quinta";"c";"CVE Treinta y Cinco SpA";"12,0000";"18/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2149748363";"2149748363";"https://seia.sea.gob.cl/mapa/info.php?id=2149748363&name=0";-71,461597;-33,564407;"En Calificación";28;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Parque Fotovoltaico Ceres Solar, corresponde a un proyecto nuevo y consiste en la construcción y operación de un Parque Fotovoltaico (en adelante PF) emplazado en la comuna de Cartagena, provincia de San Antonio, el cual evacuará 9,0 Megawatt nominal (MWn) al Sistema Eléctrico Nacional (SEN). Esta potencia se logra con la instalación de 24 354 paneles solares de 520 watt instalados (Wp) cada uno. De esta forma el Parque Fotovoltaico Ceres Solar alcanzará 12,66 Megawatt instalado (MWp) de potencia de campo de generación que serán conectados 3 inversores de 3,00 MWn cada uno.

El proyecto tendrá una vida útil de 40 años. La vida útil del proyecto se podrá extender en la medida que las condiciones de mercado justifiquen la inversión. Objetivo
La realización del proyecto tiene por objetivo la generación de energía eléctrica mediante la captación y transformación de la energía solar, para inyectar una potencia de 9,00 Megawatt (MW) al SEN.";"2021"
55;"Parque Fotovoltaico Del Sol";"DIA";"RM";"c";"Solek Chile Services SpA";"10,0000";"18/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150821742";"2150821742";"https://seia.sea.gob.cl/mapa/info.php?id=2150821742&name=0";-70,9452;-33,65069;"En Calificación";19;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto corresponde a la construcción y operación de un parque solar que utilizará la tecnología de módulos fotovoltaicos para la captación y transformación de energía solar a eléctrica, compuesto de 19.656 módulos fotovoltaicos con una potencia nominal de 10,66 MW.ObjetivoEl Proyecto, tiene por objetivo captar y transformar la energía solar en energía eléctrica para inyectar a la red de distribuidora local, perteneciente al Sistema Eléctrico Nacional (SEN), además de obtener la Resolución de Calificación Ambiental (RCA) favorable, por medio de la evaluación ambiental y sectorial del presente documento.";"2021"
56;"Proyecto Fotovoltaico Las Chilcas";"DIA";"Decimoquinta";"c";"Pesquero Solar SpA";"12,0000";"18/02/2021";"En Admisión";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150839750";"2150839750";"https://seia.sea.gob.cl/mapa/info.php?id=2150839750&name=0";-70,25577;-18,535999;"En Admisión";18;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto Fotovoltaico Las Chilcas, corresponde a un proyecto de energía solar con 9 MW de potencia nominal.ObjetivoEl proyecto tiene como objetivo generar energía eléctrica a partir de una planta fotovoltaica de 12,9 MWp de potencia máxima instalada.";"2021"
57;"Parque Solar Fotovoltaico Pampa Librillo";"DIA";"Segunda";"c";"Librillo Solar SpA";"90,0000";"18/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150823534";"2150823534";"https://seia.sea.gob.cl/mapa/info.php?id=2150823534&name=0";-70,160675;-25,497498;"En Calificación";21;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto “Parque Solar Fotovoltaico Pampa Librillo” (en adelante el “Proyecto”) consiste en la construcción y operación de una Central Solar Fotovoltaica (CSF) de 126 MW de potencia nominal en corriente continua (CC). El proyecto se ubica en la Comuna de Taltal, Región de Antofagasta, aprovechando el extraordinario potencial solar existente en la zona que asegura niveles de radiación adecuados para la generación eléctrica utilizando tecnología fotovoltaica. El Proyecto estará constituido por los siguientes componentes principales: Parque Fotovoltaico, circuitos de conexión subterráneas, Edificio de Control y mantenimiento y camino de acceso.
 ObjetivoEl objetivo del Proyecto es la generación de energía eléctrica a partir de la energía sol utilizando tecnología fotovoltaica. La generación de energía eléctrica será de aproximadamente 387 GWh/año.";"2021"
58;"Extracción de Arena desde Cauce del Río Biobío - Arenera Price";"DIA";"Octava";"i5";"Arenera Price SpA.";"0,0400";"18/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150832485";"2150832485";"https://seia.sea.gob.cl/mapa/info.php?id=2150832485&name=0";-73,097242;-36,809098;"En Calificación";15;0;0;"Proyectos de extracción de áridos y greda";"El proyecto “Extracción de arena desde el cauce del río Biobío – Arenera Price SpA” consiste en la extracción de 101.390,61 m3 de arenas desde el cauce del río Biobío, durante 10 años, en su ribera norte, en la comuna de Hualpén, provincia de Concepción, Región del Biobío. 
 Objetivo";"2021"
59;"Parque Fotovoltaico Cauce Solar";"DIA";"Segunda";"c";"Cauce Solar SpA";"12,0000";"18/02/2021";"Desistido";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150819588";"2150819588";NA;NA;NA;"Desistido";5;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto se emplaza en sector rural de la comuna de Calama, Región de Antofagasta y corresponde a un proyecto de pequeños medios de generación distribuida a través de energías renovables no convencionales, que generará energía limpia. El Parque Fotovoltaico, está conformada por bloques o conjuntos de paneles solares los que suman un total de 9 MW AC. La energía de los bloques, es enviada mediante una línea aérea de media tensión (23 KV), hasta el punto de interconexión ubicado aproximadamente a 5,1 Km, donde se entregará la energía al Sistema Eléctrico Nacional.
Objetivo El Proyecto tiene por objetivo proporcionar energía eléctrica a través de energías renovables no convencionales (ERNC), por medio de central fotovoltaica de 9 MW AC. La energía será inyectada al SEN.";"2021"
60;"Ampliación Parque Fotovoltaico Chalinga Solar";"DIA";"Cuarta";"c";"Joaquin Solar SpA";"1,5000";"18/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2149729947";"2149729947";"https://seia.sea.gob.cl/mapa/info.php?id=2149729947&name=0";-70,9739;-31,760519;"En Calificación";17;0;0;"Centrales generadoras de energía mayores a 3 MW";"El proyecto consiste en aumentar un 15% la Potencia nominal en corriente continua de la planta solar, pasando de 2,98 (según Res. Ex. N°77 Pronunciamiento a Consulta Carta de Pertinencia) a 3,45 MW e incorporar un sistema de baterías de 1,5 MW de potencia y hasta 10 MWh de capacidad de almacenaje de energía. Esto significa, la instalación de:
1. 1092 Paneles de 395 W cada uno para llegar a un total de 8.736 paneles fotovoltaicos en la planta completa; y
2. Un sistema de almacenamiento de energía que consiste en tres módulos de baterías de ion litio localizadas dentro contenedores independientes de tipo marítimo, y un contenedor con el sistema de conversión de potencia.
Luego, se aprovechan sin mayores modificaciones los sistemas de evacuación, accesos, comunicaciones y seguridad de la planta existente, y se mantiene la superficie general del proyecto. 
El proyecto se localiza en el predio rústico correspondiente al Lote 3B-4, ubicado en el sector Cancha Brava, comuna de Salamanca, provincia de Choapa, región de Coquimbo.
Objetivo 
El objetivo de este Proyecto es aumentar la eficiencia de la planta solar aprovechando los espacios disponibles en el sitio del proyecto y la infraestructura existente, con lo que se aumentaría la capacidad de producción de energía eléctrica del Parque Fotovoltaico Chalinga Solar y, por otra parte, la capacidad de almacenamiento permite desplazar los horarios de inyección de la energía permitiendo una mayor flexibilidad y adaptabilidad a las necesidades del sistema eléctrico.";"2021"
61;"Parque Fotovoltaico Patarona Solar";"DIA";"Novena";"c";"PERROTUE SOLAR SPA";"5,0000";"18/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150834246";"2150834246";"https://seia.sea.gob.cl/mapa/info.php?id=2150834246&name=0";-72,577298;-39,398956;"En Calificación";20;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto corresponde a un nuevo parque fotovoltaico emplazado en un sector rural a aproximadamente 5 km al sureste de la ciudad de Loncoche, Provincia de Cautín, en la Región de la Araucanía. La superficie total del área para el emplazamiento del proyecto corresponde a 13,36 ha. El Proyecto generará energía limpia a través de una central solar fotovoltaica de 7 MW AC, por lo que se considera como un pequeño medio de generación distribuido (PMGD) en base a energías renovables no convencionales (ERNC). Estará constituido por aproximadamente 16.470 modulos instalados con tecnología de seguidor de eje y una línea eléctrica de media tensión (23 kV) con una longitud aproximada de 9 m, hacia la línea existente de la empresa SeasaObjetivoEl objetivo del Proyecto es la generación de energía eléctrica a partir de energía solar, a través de un parque fotovoltaico cuya potencia máxima a inyectar a la red de distribución es 7 MW AC, considerando una potencia total de 8,3 MWp. Y aportar al desarrollo de una matriz energética diversa para el país, entregando energía limpia a la red de distribución local y al Sistema Eléctrico Nacional (SEN).";"2021"
62;"Extracción de Áridos Alexis";"DIA";"Octava";"i5";"INGENIERIA Y CONSTRUCCION MMAS SPA";"1,7000";"18/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150779497";"2150779497";"https://seia.sea.gob.cl/mapa/info.php?id=2150779497&name=0";-72,535817;-37,57352;"En Calificación";18;0;0;"Proyectos de extracción de áridos y greda";"El proyecto que ingresa al SEIA mediante la presente declaración de impacto ambiental, consiste en desarrollar la actividad de extracción estimada de 427.500 m3 de áridos o material pétreo, en un periodo de 5 años, desde una superficie total de 17,1 hectáreas, ubicada en la comuna de Los Ángeles, Región del Biobío.
Dado que en el terreno se cuenta con maquinaria e instalaciones, se dará inicio al proyecto con la preparación del terreno a través del despeje de vegetación y escarpe. 
El proceso productivo u operación básicamente consistirá en la extracción de material integral mediante excavadoras, las que depositarán el material en camiones para su transporte a la zona de proceso y acopio, para su posterior comercialización. En la fase de cierre en se retirarán las instalaciones y maquinarias y se deja el terreno en las mejores condiciones ambientales considerando su condición basal.
Cabe indicar que, en el terreno particular de 45,12 hectáreas en donde se localizará el proyecto presentado en esta Declaración de Impacto Ambiental, se desarrolla actualmente la extracción de áridos por parte del titular Moisés Iván Aedo Rodríguez, en una superficie aproximada de 1,3 hectáreas correspondiente a un monto de extracción de 20.000 m3 y adicionalmente, cuenta con una resolución a consulta de pertinencia ambiental, resolución exenta N° 219/2019 (Se adjunta resolución en el Anexo 9)., para extraer 70.000 m3 más, en una superficie de 3,5 hectáreas. Lo anterior se menciona en vista de la cercanía de los proyectos y el vínculo de los proponentes, por lo que en la presente DIA se entregarán los antecedentes y estudios asociados a la totalidad del terreno (45,12 ha), incluyendo las zonas de extracción existentes, pertenecientes a Moisés Iván Aedo, permitiendo al Servicio de Evaluación Ambiental evaluar si el impacto ambiental de proyecto se ajusta a las normas ambientales vigentes.Objetivo El objetivo del proyecto consiste en llevar a cabo la actividad de extracción y procesamiento de áridos desde una superficie total de 17,1 hectáreas ubicada en la comuna de Los Ángeles, para abastecer la demanda de estos materiales.";"2021"
63;"Sistema de Tratamiento y Acondicionamiento de Residuos Industriales Líquidos Taller de Redes Badinotti Net Services Magallanes";"DIA";"Duodécima";"o7";"Badinotti Chile S.A.";"4,5000";"18/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150730477";"2150730477";"https://seia.sea.gob.cl/mapa/info.php?id=2150730477&name=0";-70,860182;-52,925761;"En Calificación";17;0;0;"Sistemas de tratamiento y/o disposición de residuos industriales líquidos";"El Proyecto objeto en evaluación, denominado “Sistema de Tratamiento y Acondicionamiento de Residuos Industriales Líquidos Taller de Redes Badinotti Net Services Magallanes”, corresponde a la construcción y operación de una planta de tratamiento de RILes, la cual tratará los residuos provenientes del proceso de lavado, desinfección, reparación-mantenimiento e impregnación de redes. ObjetivoEl objetivo del Proyecto es tratar los residuos industriales líquidos generados de las actividades de mantenimiento de las redes utilizadas en los procesos acuícolas.";"2021"
